command;user;asset1;asset2;amount;holder;pause in blocks;comment
health;;;;;110;;
deposit;1;USDC;;500000;0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b;;
deposit;2;USDC;;20000;0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b;;
deposit;3;USDC;;20000;0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b;;
deposit;1;USDT;;500000;0x0d0707963952f2fba59dd06f2b425ace40b492fe;;
deposit;2;USDT;;20000;0x0d0707963952f2fba59dd06f2b425ace40b492fe;;
deposit;3;USDT;;20000;0x0d0707963952f2fba59dd06f2b425ace40b492fe;;
deposit;1;DAI;;500000;0x9bdb521a97e95177bf252c253e256a60c3e14447;;
deposit;2;DAI;;20000;0x9bdb521a97e95177bf252c253e256a60c3e14447;;
deposit;3;DAI;;20000;0x9bdb521a97e95177bf252c253e256a60c3e14447;;
deposit;1;WMATIC;;500000;0xded8c5159ca3673f543d0f72043e4c655b35b96a;;
deposit;2;WMATIC;;20000;0xded8c5159ca3673f543d0f72043e4c655b35b96a;;
deposit;3;WMATIC;;20000;0xded8c5159ca3673f543d0f72043e4c655b35b96a;;
freeze;aave3;;;;;;
freeze;aave2;;;;;;
borrow;2;DAI;USDT;2000;;1;borrow on Dforce
unfreeze;aave2;;;;;;
freeze;dforce;;;;;;
borrow;3;DAI;USDT;1500;;77;borrow on AAVE2
unfreeze;aave3;;;;;;
freeze;aave2;;;;;;
borrow;1;DAI;USDT;25000;;121;borrow on AAVE3
unfreeze;aave3;;;;;;
unfreeze;aave2;;;;;;
unfreeze;dforce;;;;;;
rebalance;;;;;;;
borrow;1;DAI;USDT;17000;;10;borrow on best
borrow;1;DAI;USDT;130000;;11;
borrow;2;DAI;USDT;200;;17;
borrow;3;DAI;USDT;1;;3;
borrow;3;DAI;USDT;5000;;5;
borrow;3;DAI;USDT;100;;25;
repay;1;DAI;USDT;150000;;15;
repay;2;DAI;USDT;500;;45;
repay;3;DAI;USDT;10000;;25;
repay;3;DAI;USDT;5000;;15;
freeze;dforce;;;;;;
borrow;1;DAI;USDC;7000;;10;borrow on AAVE 2 or 3
borrow;1;DAI;USDC;300000;;11;
borrow;2;DAI;USDC;200;;17;
unfreeze;dforce;;;;;;
freeze;aave3;;;;;;
freeze;aave2;;;;;;
health;;;;;240;;
rebalance;;;;;;;
rebalance;;;;;;;
rebalance;;;;;;;
borrow;3;DAI;USDC;1;;3;borrow on DF
borrow;3;DAI;USDC;5000;;5;
borrow;3;DAI;USDC;100;;25;
repay;1;DAI;USDC;150000;;15;
repay;2;DAI;USDC;500;;45;
repay;3;DAI;USDC;10000;;25;
repay;3;DAI;USDC;5000;;15;
unfreeze;aave3;;;;;;
unfreeze;aave2;;;;;;
health;;;;;590;;
rebalance;;;;;;;
rebalance;;;;;;;
rebalance;;;;;;;
borrow;2;DAI;USDT;2000;;5;borrow on best
borrow;1;USDC;WMATIC;30000;;20;
borrow;2;USDC;WMATIC;300;;20;
borrow;3;USDC;WMATIC;300;;20;
borrow;3;DAI;WMATIC;900;;20;
borrow;3;DAI;WMATIC;900;;20;
borrow;3;DAI;WMATIC;900;;20;
borrow;3;DAI;WMATIC;900;;20;
borrow;2;DAI;WMATIC;1900;;20;
borrow;2;DAI;WMATIC;300;;20;
borrow;2;DAI;WMATIC;2500;;20;
borrow;2;DAI;WMATIC;400;;20;
borrow;1;DAI;WMATIC;89900;;20;
borrow;1;DAI;WMATIC;1700;;20;
borrow;1;DAI;WMATIC;150000;;20;
borrow;1;DAI;WMATIC;9000;;44;
health;;;;;110;;increase price of DAI twice
rebalance;;;;;;;
repay;1;USDC;USDT;;;15;
repay;2;USDC;USDT;;;45;
repay;3;USDC;USDT;;;25;
repay;1;DAI;WMATIC;;;15;
repay;2;DAI;WMATIC;;;45;
repay;3;DAI;WMATIC;;;25;
repay;1;USDC;WMATIC;;;15;
repay;2;USDC;WMATIC;;;45;
repay;3;USDC;WMATIC;;;25;
repay;1;DAI;USDC;;;15;
repay;2;DAI;USDC;;;45;
repay;3;DAI;USDC;;;25;
repay;1;DAI;USDT;;;15;
repay;2;DAI;USDT;;;45;
repay;3;DAI;USDT;;;25;
